AeroportoKey;ICAO
1;SBMD
2;SBME
3;SBMA
4;SBML
5;SDQL
6;SBMK
7;SBMH
8;SBMI
9;SBMG
10;SBMT
11;SBMS
12;SBMP
13;SBMQ
14;SBMN
15;SBMO
16;SDQQ
17;SBMY
18;SDQY
19;SDPE
20;SDPD
21;SDPA
22;SDPM
23;SDPN
24;SBLJ
25;SDPL
26;SDPG
27;SBLE
28;SDPH
29;SBLS
30;SDPV
31;SDPT
32;SBLO
33;SDPY
34;SDPW
35;SDSH
36;SDSG
37;SBOB
38;SDSE
39;SDSC
40;SBOL
41;SDSN
42;SDSJ
43;SBOI
44;SBOT
45;SBOR
46;SBOP
47;SDSS
48;SDTA
49;SDTB
50;SBNF
51;SDRE
52;SBNA
53;SDRC
54;SPIM
55;SBNM
56;SDRK
57;SDRI
58;SDRJ
59;SPJC
60;SBNV
61;SDRU
62;SBNT
63;SDRS
64;SDRR
65;SBQH
66;SDUJ
67;SDUR
68;SBQP
69;SDUP
70;SDUN
71;SDUL
72;SBQJ
73;SBQY
74;SBQV
75;SDUX
76;SBQW
77;SDUW
78;SBQS
79;SJAH
80;SDVD
81;SBRB
82;SDVA
83;SJAD
84;SJAC
85;SBPG
86;SDTI
87;SBPF
88;SDTE
89;SBPC
90;SDTF
91;SBPA
92;SBPB
93;SDTD
94;SDTQ
95;SBPO
96;SBPP
97;SDTP
98;SBPN
99;SBPK
100;SBPL
101;SDTK
102;SBPJ
103;SDTY
104;SBPV
105;SBPS
106;SDTT
107;SDUB
108;SBQA
109;SBSJ
110;SDWM
111;SBSI
112;SBSG
113;SJBK
114;SDWT
115;SBSR
116;SJBY
117;SDWU
118;SBSP
119;SDWS
120;SJBX
121;SBSN
122;SBSO
123;SDWQ
124;SBSL
125;SBSM
126;SJCC
127;SJCA
128;SBSV
129;SBST
130;SDXE
131;SBTC
132;SDXF
133;SBTD
134;SBTA
135;SJCI
136;SBTB
137;SJCF
138;SJCG
139;SDXB
140;SBRJ
141;SDVI
142;SDVJ
143;SDVG
144;SJAL
145;SDVH
146;SBRF
147;SDVE
148;SBRD
149;SDVR
150;SBRP
151;SDVO
152;SJBB
153;SDVZ
154;SDWD
155;SBSC
156;SDWC
157;SJBH
158;SDWA
159;SJBC
160;SBUL
161;SJDS
162;SJDR
163;SDYJ
164;SJDO
165;SDYK
166;SBUF
167;SDYH
168;SBUG
169;SDYI
170;SBUR
171;SDYQ
172;SJEB
173;SBUY
174;SDZG
175;SDZH
176;SBVC
177;SJEI
178;SDZD
179;SDZB
180;SBTK
181;SJCR
182;SDXN
183;SBTL
184;SBTG
185;SDXJ
186;SBTE
187;SJCM
188;SDXH
189;SBTF
190;SBTS
191;SDXU
192;SBTT
193;SJCY
194;SDXQ
195;SJCU
196;SJDC
197;SJDA
198;SJDB
199;SDXY
200;SBTU
201;SBTV
